district,date_start,date_end,dengue_A,dengue_B,dysentery_A,dysentery_B,encephalitis_A,encephalitis_B,enteric_fever_A,enteric_fever_B,food_poisoning_A,food_poisoning_B,leptospirosis_A,leptospirosis_B,typhus_f_A,typhus_f_B,viral_hep_A,viral_hep_B,rabies_A,rabies_B,chickenpox_A,chickenpox_B,meningitis_A,meningitis_B,leishmania_A,leishmania_B,tuberculosis_A,tuberculosis_B,wrcd_A,wrcd_B,lepto,dengue
Colombo,2025-07-05,2025-07-11,285,7089,0,18,0,4,1,7,0,5,8,270,0,5,0,12,0,0,11,302,3,38,1,3,40,1053,100,100,8,285
Gampaha,2025-07-05,2025-07-11,181,4545,0,26,0,24,0,1,7,121,8,461,0,8,1,11,0,0,19,500,2,90,0,23,18,599,100,100,8,181
Kalutara,2025-07-05,2025-07-11,57,1423,0,28,0,6,1,11,0,41,11,392,1,2,0,4,0,0,19,522,3,27,0,1,19,332,65,100,11,57
Kandy,2025-07-05,2025-07-11,174,2309,0,37,0,3,0,5,0,19,6,171,2,36,0,7,0,0,24,287,0,15,0,38,7,368,96,100,6,174
Matale,2025-07-05,2025-07-11,14,789,0,15,0,1,0,0,0,50,6,148,0,4,1,7,0,0,3,74,1,7,11,162,2,84,100,100,6,14
Nuwara-Eliya,2025-07-05,2025-07-11,8,166,4,48,1,5,0,4,1,47,3,71,3,40,0,0,0,0,8,154,0,18,0,0,7,153,100,100,3,8
Galle,2025-07-05,2025-07-11,47,1198,1,26,0,3,1,2,0,41,21,491,3,51,0,8,0,1,13,442,2,100,0,3,12,263,95,100,21,47
Hambantota,2025-07-05,2025-07-11,24,512,0,16,0,4,0,0,0,4,8,250,0,20,0,4,0,0,4,195,1,14,4,165,4,82,100,100,8,24
Matara,2025-07-05,2025-07-11,39,988,1,10,0,2,0,1,0,7,10,297,0,12,1,10,0,0,4,235,0,25,3,60,3,89,88,100,10,39
Jaffna,2025-07-05,2025-07-11,17,778,4,55,0,2,0,11,2,34,2,123,9,375,0,2,1,2,1,235,0,16,0,0,7,120,93,93,2,17
Kilinochchi,2025-07-05,2025-07-11,2,66,1,11,0,0,0,4,0,5,1,60,0,11,0,1,0,0,0,4,0,0,0,1,0,31,100,100,1,2
Mannar,2025-07-05,2025-07-11,2,114,0,5,0,0,0,0,0,2,0,20,0,14,0,0,0,0,0,17,0,12,0,1,1,26,100,100,0,2
Vavuniya,2025-07-05,2025-07-11,3,59,0,9,0,0,0,1,0,36,1,62,0,7,0,0,0,0,1,32,1,15,0,14,2,30,100,100,1,3
Mullaitivu,2025-07-05,2025-07-11,2,48,0,5,0,0,0,1,0,23,1,51,0,7,0,0,0,0,0,20,0,5,0,2,0,18,100,100,1,2
Batticaloa,2025-07-05,2025-07-11,20,1464,1,91,0,12,0,0,24,145,3,76,1,2,0,17,0,0,6,129,0,24,0,1,3,82,86,100,3,20
Ampara,2025-07-05,2025-07-11,22,439,2,51,1,14,0,0,0,29,3,210,0,3,2,7,0,2,6,206,2,57,0,16,1,106,200,200,3,22
Trincomalee,2025-07-05,2025-07-11,8,847,1,31,0,2,0,1,1,29,2,105,0,9,0,5,0,0,2,80,0,10,0,4,0,68,100,100,2,8
Kurunegala,2025-07-05,2025-07-11,51,962,1,31,0,12,0,1,0,25,7,475,1,23,0,6,0,1,30,463,4,98,18,325,7,184,97,100,7,51
Puttalam,2025-07-05,2025-07-11,12,418,2,22,0,3,0,0,0,5,4,190,1,31,0,1,0,1,1,98,3,59,0,20,11,112,100,100,4,12
Anuradhapura,2025-07-05,2025-07-11,8,385,1,25,0,6,0,3,0,17,6,286,1,17,1,11,0,0,6,198,0,44,23,428,13,159,78,100,6,8
Polonnaruwa,2025-07-05,2025-07-11,14,213,0,12,0,4,0,1,0,8,3,196,0,1,1,18,0,0,5,110,1,12,12,229,1,46,88,90,3,14
Badulla,2025-07-05,2025-07-11,17,477,1,22,0,8,0,3,0,2,4,191,1,18,2,33,0,0,4,250,1,45,1,29,2,161,94,100,4,17
Monaragala,2025-07-05,2025-07-11,12,549,0,13,0,3,0,0,0,4,4,393,0,23,0,18,0,0,1,89,0,34,6,117,7,74,82,100,4,12
Ratnapura,2025-07-05,2025-07-11,104,3159,1,79,0,6,0,3,0,37,15,918,0,19,1,9,0,1,8,259,2,71,8,121,6,225,95,100,15,104
Kegalle,2025-07-05,2025-07-11,39,921,1,44,0,11,0,9,1,32,23,461,0,8,0,11,0,0,21,516,3,71,1,20,6,161,100,100,23,39
Colombo,2025-06-28,2025-07-04,276,6804,0,18,0,4,0,6,0,5,21,262,0,5,1,12,0,0,10,291,2,35,1,2,44,1013,64,100,21,276
Gampaha,2025-06-28,2025-07-04,167,4364,0,26,0,24,0,1,47,114,11,453,0,8,0,10,0,0,19,481,5,88,1,23,33,581,70,100,11,167
Kalutara,2025-06-28,2025-07-04,92,1366,3,28,0,6,0,10,13,41,18,381,0,1,0,4,0,0,21,503,0,24,0,1,5,313,40,100,18,92
Kandy,2025-06-28,2025-07-04,161,2135,1,37,0,3,0,5,0,19,12,165,2,34,1,7,0,0,15,263,0,15,0,38,7,361,100,100,12,161
Matale,2025-06-28,2025-07-04,23,775,0,15,0,1,0,0,0,50,4,142,1,4,0,6,0,0,2,71,0,6,3,151,1,82,100,100,4,23
Nuwara-Eliya,2025-06-28,2025-07-04,6,158,2,44,0,4,0,4,1,46,3,68,4,37,0,0,0,0,12,146,3,18,0,0,8,146,100,100,3,6
Galle,2025-06-28,2025-07-04,79,1151,1,25,0,3,0,1,2,41,26,470,2,48,1,8,0,1,17,429,2,98,0,3,8,251,95,100,26,79
Hambantota,2025-06-28,2025-07-04,21,488,0,16,0,4,0,0,0,4,8,242,1,20,0,4,0,0,1,191,0,13,5,161,5,78,100,100,8,21
Matara,2025-06-28,2025-07-04,58,949,1,9,0,2,0,1,2,7,13,287,1,12,0,9,0,0,3,231,1,25,0,57,3,86,100,100,13,58
Jaffna,2025-06-28,2025-07-04,12,761,3,51,0,2,1,11,2,32,1,121,8,366,0,2,0,1,2,234,0,16,0,0,3,113,100,93,1,12
